alpha_early,alpha_late,basespread,adjust_scale,max_order_early,max_order_late,profit
alpha_early,alpha_late,basespread,adjust_scale,max_order_early,max_order_late,profit
0.001,0.002,0.005,0.1,0.1,0.05,27.0
0.001,0.002,0.005,0.1,0.1,0.1,54.0
0.001,0.002,0.005,0.1,0.1,0.15,81.0
0.001,0.002,0.005,0.1,0.1,0.2,108.0
0.001,0.002,0.005,0.1,0.1,0.25,136.0
0.001,0.002,0.005,0.1,0.2,0.05,26.0
0.001,0.002,0.005,0.1,0.2,0.1,53.0
0.001,0.002,0.005,0.1,0.2,0.15,81.0
0.001,0.002,0.005,0.1,0.2,0.2,108.0
0.001,0.002,0.005,0.1,0.2,0.25,135.0
0.001,0.002,0.005,0.1,0.3,0.05,26.0
0.001,0.002,0.005,0.1,0.3,0.1,53.0
0.001,0.002,0.005,0.1,0.3,0.15,80.0
0.001,0.002,0.005,0.1,0.3,0.2,107.0
0.001,0.002,0.005,0.1,0.3,0.25,135.0
0.001,0.002,0.005,0.1,0.4,0.05,25.0
0.001,0.002,0.005,0.1,0.4,0.1,52.0
0.001,0.002,0.005,0.1,0.4,0.15,80.0
0.001,0.002,0.005,0.1,0.4,0.2,107.0
0.001,0.002,0.005,0.1,0.4,0.25,134.0
0.001,0.002,0.005,0.1,0.5,0.05,25.0
0.001,0.002,0.005,0.1,0.5,0.1,52.0
0.001,0.002,0.005,0.1,0.5,0.15,79.0
0.001,0.002,0.005,0.1,0.5,0.2,106.0
0.001,0.002,0.005,0.1,0.5,0.25,134.0
0.001,0.002,0.01,0.1,0.1,0.05,27.0
0.001,0.002,0.01,0.1,0.1,0.1,54.0
0.001,0.002,0.01,0.1,0.1,0.15,82.0
0.001,0.002,0.01,0.1,0.1,0.2,109.0
0.001,0.002,0.01,0.1,0.1,0.25,136.0
0.001,0.002,0.01,0.1,0.2,0.05,26.0
0.001,0.002,0.01,0.1,0.2,0.1,54.0
0.001,0.002,0.01,0.1,0.2,0.15,81.0
0.001,0.002,0.01,0.1,0.2,0.2,109.0
0.001,0.002,0.01,0.1,0.2,0.25,136.0
0.001,0.002,0.01,0.1,0.3,0.05,26.0
0.001,0.002,0.01,0.1,0.3,0.1,53.0
0.001,0.002,0.01,0.1,0.3,0.15,81.0
0.001,0.002,0.01,0.1,0.3,0.2,108.0
0.001,0.002,0.01,0.1,0.3,0.25,136.0
0.001,0.002,0.01,0.1,0.4,0.05,25.0
0.001,0.002,0.01,0.1,0.4,0.1,53.0
0.001,0.002,0.01,0.1,0.4,0.15,80.0
0.001,0.002,0.01,0.1,0.4,0.2,108.0
0.001,0.002,0.01,0.1,0.4,0.25,135.0
0.001,0.002,0.01,0.1,0.5,0.05,25.0
0.001,0.002,0.01,0.1,0.5,0.1,52.0
0.001,0.002,0.01,0.1,0.5,0.15,80.0
0.001,0.002,0.01,0.1,0.5,0.2,107.0
0.001,0.002,0.01,0.1,0.5,0.25,134.0
0.001,0.002,0.015,0.1,0.1,0.05,27.0
